LOCATION,SUBJECT,MEASURE,FREQUENCY,TIME,Value
LUX,TOT,USD,A,1991,47609.2243
LUX,TOT,USD,A,1992,48551.52248
LUX,TOT,USD,A,1993,49769.714
LUX,TOT,USD,A,1994,50523.24579
LUX,TOT,USD,A,1995,50600.63423
LUX,TOT,USD,A,1996,51405.82402
LUX,TOT,USD,A,1997,52159.13529
LUX,TOT,USD,A,1998,52462.86232
LUX,TOT,USD,A,1999,53587.2264
LUX,TOT,USD,A,2000,55448.99295
LUX,TOT,USD,A,2001,56086.7288
LUX,TOT,USD,A,2002,57255.51822
LUX,TOT,USD,A,2003,56987.12256
LUX,TOT,USD,A,2004,57767.52474
LUX,TOT,USD,A,2005,57822.11814
LUX,TOT,USD,A,2006,58620.78201
LUX,TOT,USD,A,2007,60156.87254
LUX,TOT,USD,A,2008,59918.88143
LUX,TOT,USD,A,2009,61588.27208
LUX,TOT,USD,A,2010,62131.56237
LUX,TOT,USD,A,2011,61213.34102
LUX,TOT,USD,A,2012,60707.10622
LUX,TOT,USD,A,2013,61305.47504
LUX,TOT,USD,A,2014,63606.70614
LUX,TOT,USD,A,2015,64551.54632
LUX,TOT,USD,A,2016,64453.11023
LUX,TOT,USD,A,2017,65890.9974
LUX,TOT,USD,A,2018,65448.61195
MEX,TOT,USD,A,1990,14257.72257
MEX,TOT,USD,A,1991,15011.3705
MEX,TOT,USD,A,1992,15828.24642
MEX,TOT,USD,A,1993,16470.54131
MEX,TOT,USD,A,1994,16887.67638
MEX,TOT,USD,A,1995,13927.96333
MEX,TOT,USD,A,1996,13119.67234
MEX,TOT,USD,A,1997,13753.89087
MEX,TOT,USD,A,1998,14514.03009
MEX,TOT,USD,A,1999,15103.25768
MEX,TOT,USD,A,2000,15904.75411
MEX,TOT,USD,A,2001,16811.84558
MEX,TOT,USD,A,2002,16747.58813
MEX,TOT,USD,A,2003,17039.27709
MEX,TOT,USD,A,2004,17139.20892
MEX,TOT,USD,A,2005,17244.56717
MEX,TOT,USD,A,2006,17217.98024
MEX,TOT,USD,A,2007,17283.73587
MEX,TOT,USD,A,2008,17150.17199
MEX,TOT,USD,A,2009,17268.95905
MEX,TOT,USD,A,2010,16183.10561
MEX,TOT,USD,A,2011,16328.23664
MEX,TOT,USD,A,2012,16050.29823
MEX,TOT,USD,A,2013,16050.28429
MEX,TOT,USD,A,2014,16028.6024
MEX,TOT,USD,A,2015,16231.22549
MEX,TOT,USD,A,2016,16135.64876
MEX,TOT,USD,A,2017,16110.17632
MEX,TOT,USD,A,2018,16297.70831
NLD,TOT,USD,A,1990,47888.03209
NLD,TOT,USD,A,1991,48248.32015
NLD,TOT,USD,A,1992,48496.27656
NLD,TOT,USD,A,1993,49326.09288
NLD,TOT,USD,A,1994,49679.75181
NLD,TOT,USD,A,1995,48707.23737
NLD,TOT,USD,A,1996,48540.91177
NLD,TOT,USD,A,1997,48702.64333
NLD,TOT,USD,A,1998,47149.12487
NLD,TOT,USD,A,1999,48027.98176
NLD,TOT,USD,A,2000,49225.72615
NLD,TOT,USD,A,2001,49955.543
NLD,TOT,USD,A,2002,50125.19214
NLD,TOT,USD,A,2003,50481.04392
NLD,TOT,USD,A,2004,51286.38932
NLD,TOT,USD,A,2005,51286.56221
NLD,TOT,USD,A,2006,51186.26276
NLD,TOT,USD,A,2007,51917.49883
NLD,TOT,USD,A,2008,52231.32537
NLD,TOT,USD,A,2009,54463.95309
NLD,TOT,USD,A,2010,54477.2274
NLD,TOT,USD,A,2011,54140.29075
NLD,TOT,USD,A,2012,54362.19547
NLD,TOT,USD,A,2013,54554.96534
NLD,TOT,USD,A,2014,54260.74479
NLD,TOT,USD,A,2015,54892.58871
NLD,TOT,USD,A,2016,55131.595
NLD,TOT,USD,A,2017,54633.79627
NLD,TOT,USD,A,2018,54261.68245
NOR,TOT,USD,A,1990,29538.31646
NOR,TOT,USD,A,1991,29865.35064
NOR,TOT,USD,A,1992,30247.00833
NOR,TOT,USD,A,1993,30535.55569
NOR,TOT,USD,A,1994,31158.05478
NOR,TOT,USD,A,1995,31448.99557
NOR,TOT,USD,A,1996,32395.9624
NOR,TOT,USD,A,1997,33103.14661
NOR,TOT,USD,A,1998,34312.87637
NOR,TOT,USD,A,1999,35428.17907
NOR,TOT,USD,A,2000,35743.8388
NOR,TOT,USD,A,2001,36654.2618
NOR,TOT,USD,A,2002,38106.65824
NOR,TOT,USD,A,2003,38575.29873
